category,task_name,best_speedup,correctness_pass,compile_pass,num_runs,base_ms,best_opt_ms,best_run_source
activation,hip2hip/hip2hip_extracted_chushi/vllm_silu_and_mul,1.1838,True,True,1,0.013266,0.012263,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-chushi_MI300_geak_v3/run_20260510_162204/hip2hip_hip2hip_extracted_chushi_vllm_silu_and_mul_20260510_162204/task_result.yaml
activation,hip2hip/hip_kernel_extend_full/chushi/silu_and_mul,1.1794,True,True,6,0.028492,0.022270,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_silu_and_mul_20260602_160859/task_result.yaml
moe/routing,hip2hip/hip_kernel_extend_full/chushi/moe_sum,1.1758,True,True,3,0.071530,0.068981,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_moe_sum_20260602_160859/task_result.yaml
activation,hip2hip/others/silu,1.1608,True,True,39,0.015417,0.014837,AgentKernelArena/old_results/workspace_kimi_k26_16cases_MI300_geak_v3/run_20260503_144423/hip2hip_others_silu_20260503_144423/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/chushi/rms_norm,1.1485,True,True,3,0.024868,0.019689,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_rms_norm_20260602_160859/task_result.yaml
activation,hip2hip/hip2hip_extraction_0519/10_silu_and_mul,1.1451,True,True,13,0.027770,0.022331,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_10_silu_and_mul_20260519_160143/task_result.yaml
attention,hip2hip/hip_kernel_extend_full/puyuan_lv12/level2/attention,1.1295,True,True,3,0.258694,0.231934,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level2_attention_20260602_160859/task_result.yaml
moe/routing,hip2hip/hip_kernel_extend_full/chushi/topk_softmax,1.1109,True,True,3,0.021774,0.019149,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_topk_softmax_20260602_160859/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/puyuan_lv12/level1/fused_qk_norm,1.1044,True,True,3,0.007091,0.006790,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level1_fused_qk_norm_20260602_160859/task_result.yaml
moe/routing,hip2hip/hip2hip_extraction_0519/08_topk_softmax,1.1013,True,True,6,0.020488,0.018110,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_08_topk_softmax_20260519_160143/task_result.yaml
gemm,campaign20/baseline/_w8a8_triton_block_scaled_mm,1.0847,True,True,3,1.905921,1.762053,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0621_rerun_MI300_geak_v3/run_20260621_041627/campaign20_baseline__w8a8_triton_block_scaled_mm_20260621_041627/task_result.yaml
attention,hip2hip/hip_kernel_extend_full/chushi/paged_attention_large,1.0794,True,True,3,1.997346,1.759211,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.8_pa_0609_MI300_geak_v3/run_20260609_124617/hip2hip_hip_kernel_extend_full_chushi_paged_attention_large_20260609_124617/task_result.yaml
activation,hip2hip/hip2hip-extracted-v2/hip_silu_and_mul,1.0735,True,True,11,0.010453,0.010437,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260509_031259/hip2hip_hip2hip-extracted-v2_hip_silu_and_mul_20260509_031259/task_result.yaml
attention,campaign20/baseline/paged_attention_ragged,1.0679,True,True,15,0.141922,0.130812,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/reeval/campaign20_baseline_paged_attention_ragged_20260620_174937/task_result.yaml
activation,hip2hip/hip2hip-extracted/hip_silu_and_mul,1.0628,True,True,10,0.010331,0.009690,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_154252/hip2hip_hip2hip-extracted_hip_silu_and_mul_20260508_154252/task_result.yaml
pos-embedding,hip2hip/vllm-v2-cursor/hip_rotary_embedding,1.0608,True,True,7,0.009628,0.008996,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_rotary_embedding_20260512_031134/task_result.yaml
attention,hip2hip/hip2hip_extraction_0519/11_concat_and_cache_mla,1.0607,True,True,6,0.015659,0.014772,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_11_concat_and_cache_mla_20260519_160143/task_result.yaml
moe/routing,hip2hip/hip2hip-extracted/hip_topk_softmax,1.0595,True,True,10,0.008945,0.008442,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_150557/hip2hip_hip2hip-extracted_hip_topk_softmax_20260508_150557/task_result.yaml
gemm,hip2hip/hip2hip-extracted/hip_skinny_gemm,1.0541,True,True,10,0.020043,0.019126,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_150557/hip2hip_hip2hip-extracted_hip_skinny_gemm_20260508_150557/task_result.yaml
kv-cache,hip2hip/vllm-v2-cursor/hip_reshape_and_cache,1.0491,True,True,7,0.003039,0.002889,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_reshape_and_cache_20260512_031134/task_result.yaml
kv-cache,hip2hip/hip2hip-extracted/hip_reshape_and_cache,1.0451,True,True,10,0.008003,0.007654,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_154252/hip2hip_hip2hip-extracted_hip_reshape_and_cache_20260508_154252/task_result.yaml
kv-cache,hip2hip/hip2hip-extracted-v2/hip_reshape_and_cache,1.0410,True,True,11,0.003303,0.003158,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260509_031259/hip2hip_hip2hip-extracted-v2_hip_reshape_and_cache_20260509_031259/task_result.yaml
attention,hip2hip/hip_kernel_extend_full/chushi/paged_attention,1.0395,True,True,6,0.024672,0.023742,AgentKernelArena/workspace_claude_opus_4.6_pa_MI300_geak_v3/run_20260531_144017/hip2hip_hip_kernel_extend_full_chushi_paged_attention_20260531_144017/task_result.yaml
attention,hip2hip/hip_kernel_extend_full/puyuan_lv12/level2/attention_ragged,1.0330,True,True,3,0.032127,0.031504,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level2_attention_ragged_20260602_160859/task_result.yaml
pos-embedding,hip2hip/hip2hip-extracted/hip_rotary_embedding,1.0310,True,True,10,0.012005,0.011723,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_150557/hip2hip_hip2hip-extracted_hip_rotary_embedding_20260508_150557/task_result.yaml
attention,campaign20/baseline/kernel_unified_attention_2d,1.0308,True,True,3,0.066302,0.064337,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/campaign20_baseline_kernel_unified_attention_2d_20260620_174937/task_result.yaml
kv-cache,hip2hip/hip_kernel_extend_full/chushi/reshape_and_cache_flash,1.0292,True,True,3,0.016818,0.016339,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_reshape_and_cache_flash_20260602_160859/task_result.yaml
kv-cache,hip2hip/hip2hip_extraction_0519/09_reshape_and_cache_flash,1.0269,True,True,6,0.016793,0.016387,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_09_reshape_and_cache_flash_20260519_160143/task_result.yaml
norm,hip2hip/hip2hip_extraction_0519/04_rms_norm,1.0252,True,True,6,0.024214,0.022810,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_04_rms_norm_20260519_160143/task_result.yaml
gemm,hip2hip/hip2hip-extracted-v2-L2/skinny_gemm,1.0234,True,True,10,0.015888,0.015597,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-v2-L2_MI300_geak_v3/run_20260511_154105/hip2hip_hip2hip-extracted-v2-L2_skinny_gemm_20260511_154105/task_result.yaml
norm,hip2hip/hip2hip_extraction_0519/02_fused_add_rms_norm,1.0209,True,True,6,0.044567,0.044141,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_02_fused_add_rms_norm_20260519_160143/task_result.yaml
pos-embedding,hip2hip/hip2hip_extraction_0519/07_rotary_embedding,1.0148,True,True,6,0.019286,0.018913,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_07_rotary_embedding_20260519_160143/task_result.yaml
kv-cache,hip2hip/hip2hip_extraction_0519/06_reshape_and_cache,1.0127,True,True,6,0.019470,0.018807,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_06_reshape_and_cache_20260519_160143/task_result.yaml
pos-embedding,hip2hip/hip2hip_extracted_chushi/vllm_rotary_embedding,1.0119,True,True,1,0.050787,0.050266,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-chushi_MI300_geak_v3/run_20260510_162204/hip2hip_hip2hip_extracted_chushi_vllm_rotary_embedding_20260510_162204/task_result.yaml
gemm,hip2hip/hip_kernel_extend_full/chushi/wvSplitK,1.0117,True,True,3,0.052211,0.052158,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_wvSplitK_20260602_160859/task_result.yaml
norm,hip2hip/vllm-v2-cursor/hip_fused_add_rmsnorm,1.0106,True,True,7,0.014922,0.014124,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_fused_add_rmsnorm_20260512_031134/task_result.yaml
gemm,campaign20/baseline/wvSplitK,1.0100,True,True,16,0.018640,0.018460,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_014305/campaign20_baseline_wvSplitK_20260620_014305/task_result.yaml
quant,campaign20/baseline/_per_token_group_quant_fp8,1.0093,True,True,3,0.524649,0.524333,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/campaign20_baseline__per_token_group_quant_fp8_20260620_174937/task_result.yaml
kv-cache,campaign20/baseline/write_req_to_token_pool_triton,1.0091,True,True,3,0.037835,0.037493,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/reeval/campaign20_baseline_write_req_to_token_pool_triton_20260620_174937/task_result.yaml
gemm,hip2hip/vllm-v2-cursor/hip_skinny_gemm,1.0076,True,True,7,0.008198,0.008150,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_skinny_gemm_20260512_031134/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/chushi/fused_add_rms_norm,1.0074,True,True,1,0.044385,0.044328,AgentKernelArena/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_fused_add_rms_norm_20260602_160859/task_result.yaml
attention,hip2hip/hip2hip-extracted/hip_paged_attention_decode,1.0052,True,True,10,0.018044,0.018026,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_150557/hip2hip_hip2hip-extracted_hip_paged_attention_decode_20260508_150557/task_result.yaml
moe/routing,hip2hip/hip2hip-extracted/hip_grouped_topk,1.0052,True,True,10,0.009860,0.009809,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_150557/hip2hip_hip2hip-extracted_hip_grouped_topk_20260508_150557/task_result.yaml
other-llm,campaign20/baseline/_fwd_grouped_kernel_stage1,1.0050,True,True,3,0.052885,0.052632,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0621_rerun_MI300_geak_v3/run_20260621_041627/campaign20_baseline__fwd_grouped_kernel_stage1_20260621_041627/task_result.yaml
kv-cache,hip2hip/hip_kernel_extend_full/chushi/reshape_and_cache,1.0038,True,True,3,0.018427,0.018362,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_reshape_and_cache_20260602_160859/task_result.yaml
norm,hip2hip/hip2hip-extracted-v2/hip_fused_add_rmsnorm,1.0035,True,True,11,0.009938,0.009860,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3_MI300_geak_v3/run_20260511_090457/hip2hip_hip2hip-extracted-v2_hip_fused_add_rmsnorm_20260511_090457/task_result.yaml
gemm,campaign20/baseline/gemm_a8w8_blockscale,1.0033,True,True,3,1.086367,1.084100,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0621_rerun_MI300_geak_v3/run_20260621_041627/campaign20_baseline_gemm_a8w8_blockscale_20260621_041627/task_result.yaml
gemm,campaign20/baseline/_gemm_a16_w16_kernel,1.0028,True,True,3,5.014893,5.023924,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_014305/campaign20_baseline__gemm_a16_w16_kernel_20260620_014305/task_result.yaml
moe/routing,campaign20/baseline/moe_stage1,1.0012,True,True,3,4.517267,4.517167,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/campaign20_baseline_moe_stage1_20260620_174937/task_result.yaml
moe/routing,campaign20/baseline/fused_moe_kernel_gptq_awq,1.0009,True,True,3,45.135284,45.005147,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/reeval/campaign20_baseline_fused_moe_kernel_gptq_awq_20260620_174937/task_result.yaml
moe/routing,campaign20/baseline/fused_moe_kernel,1.0007,True,True,3,9.343767,9.343632,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0621_rerun_MI300_geak_v3/run_20260621_041627/campaign20_baseline_fused_moe_kernel_20260621_041627/task_result.yaml
moe/routing,hip2hip/vllm-v2-cursor/hip_topk_softmax,1.0005,True,True,7,0.007298,0.007294,AgentKernelArena/old_results/workspace_gpt54_hip2hip_vllm_v2_cursor_MI300_geak_v3/run_20260512_031134/hip2hip_vllm-v2-cursor_hip_topk_softmax_20260512_031134/task_result.yaml
gemm,hip2hip/hip2hip_extraction_0519/05_wvSplitK,1.0002,True,True,6,0.051925,0.052082,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_05_wvSplitK_20260519_160143/task_result.yaml
moe/routing,hip2hip/hip_kernel_extend_full/puyuan_lv12/level2/topk_softmax_kernels_group,1.0000,True,True,3,0.012000,0.012000,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level2_topk_softmax_kernels_group_20260602_160859/task_result.yaml
ssm/other,hip2hip/hip_kernel_extend_full/puyuan_lv12/level1/causal_conv1d_update,1.0000,True,True,3,0.512000,0.512000,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level1_causal_conv1d_update_20260602_160859/task_result.yaml
ssm/other,hip2hip/hip_kernel_extend_full/puyuan_lv12/level1/fused_split_gdr_update,0.9980,True,True,3,0.036021,0.036094,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level1_fused_split_gdr_update_20260602_160859/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/puyuan_lv12/level2/groupnorm,0.9966,True,True,3,0.133854,0.134450,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level2_groupnorm_20260602_160859/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/puyuan_lv12/level1/gated_rmsnorm_quant_kernels,0.9919,True,True,3,0.003660,0.003690,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level1_gated_rmsnorm_quant_kernels_20260602_160859/task_result.yaml
linear-attention,campaign20/baseline/chunk_scaled_dot_kkt_fwd_kernel,0.9916,True,True,3,2.449946,2.489683,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/reeval/campaign20_baseline_chunk_scaled_dot_kkt_fwd_kernel_20260620_174937/task_result.yaml
norm,hip2hip/hip2hip_extracted_chushi/aiter_rms_norm,0.9903,True,True,1,0.033292,0.033492,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-chushi_MI300_geak_v3/run_20260510_162204/hip2hip_hip2hip_extracted_chushi_aiter_rms_norm_20260510_162204/task_result.yaml
moe/routing,campaign20/baseline/moe_stage2,0.9900,True,True,3,3.795933,3.796367,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0621_rerun_MI300_geak_v3/run_20260621_041627/campaign20_baseline_moe_stage2_20260621_041627/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/puyuan_lv12/level1/rmsnorm_quant_kernels,0.9853,True,True,1,0.018088,0.018125,AgentKernelArena/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level1_rmsnorm_quant_kernels_20260602_160859/task_result.yaml
norm,hip2hip/hip2hip-extracted/hip_fused_add_rmsnorm,0.9826,True,True,10,0.052670,0.053610,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted_MI300_geak_v3/run_20260508_154252/hip2hip_hip2hip-extracted_hip_fused_add_rmsnorm_20260508_154252/task_result.yaml
attention,hip2hip/hip2hip_extraction_0519/01_paged_attention,0.9797,True,True,13,0.023436,0.023941,AgentKernelArena/old_results/workspace_claude_opus_4.6_hip2hip_extraction_0519_MI300_geak_v3/run_20260519_160143/hip2hip_hip2hip_extraction_0519_01_paged_attention_20260519_160143/task_result.yaml
norm,hip2hip/hip2hip_extracted_chushi/aiter_rmsnorm2d_fwd_with_add,0.9670,True,True,1,0.006767,0.007133,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-chushi_MI300_geak_v3/run_20260510_162204/hip2hip_hip2hip_extracted_chushi_aiter_rmsnorm2d_fwd_with_add_20260510_162204/task_result.yaml
